id,category_id,question,explanation,difficulty,created_at
74,virgula-4,Em qual alternativa a vírgula é usada corretamente para separar orações coordenadas sindéticas adversativas?,"Orações coordenadas sindéticas adversativas são aquelas que expressam contraste ou oposição, introduzidas por conjunções como ""mas"", ""porém"", ""contudo"", ""todavia"", entre outras.",2,2025-05-07 15:43:18.760795+00
75,virgula-4,Qual alternativa apresenta o uso correto da vírgula em uma enumeração?,"Em uma enumeração, os elementos são separados por vírgulas, exceto o último quando precedido por uma conjunção como ""e"", ""ou"".",2,2025-05-07 15:43:18.760795+00
76,virgula-4,Em qual alternativa a vírgula é usada corretamente para isolar um aposto?,"O aposto é um termo que explica, desenvolve ou resume outro termo da oração, e deve ser isolado por vírgulas.",3,2025-05-07 15:43:18.760795+00
77,virgula-4,Qual alternativa apresenta o uso correto da vírgula para separar orações coordenadas assindéticas?,"Orações coordenadas assindéticas são aquelas que não são ligadas por conjunção, e são separadas por vírgula.",3,2025-05-07 15:43:18.760795+00
78,virgula-4,Em qual alternativa a vírgula é usada corretamente para isolar uma expressão explicativa?,"Expressões explicativas como ""isto é"", ""ou seja"", ""por exemplo"", entre outras, devem ser isoladas por vírgulas.",2,2025-05-07 15:43:18.760795+00
79,virgula-4,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adverbial deslocada?,"Orações subordinadas adverbiais deslocadas, especialmente quando antepostas à oração principal, devem ser isoladas por vírgula.",3,2025-05-07 15:43:18.760795+00
80,virgula-4,Em qual alternativa a vírgula é usada corretamente para isolar um adjunto adverbial deslocado?,"Adjuntos adverbiais deslocados, especialmente os mais longos, devem ser isolados por vírgula.",2,2025-05-07 15:43:18.760795+00
81,virgula-4,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adjetiva explicativa?,"Orações subordinadas adjetivas explicativas devem ser isoladas por vírgulas, pois trazem uma informação adicional, não essencial para a identificação do termo que modificam.",3,2025-05-07 15:43:18.760795+00
82,virgula-4,Em qual alternativa a vírgula é usada corretamente para separar termos de mesma função sintática?,"Termos de mesma função sintática, quando não ligados por conjunção, devem ser separados por vírgula.",2,2025-05-07 15:43:18.760795+00
83,virgula-4,Qual alternativa apresenta o uso correto da vírgula para marcar a elipse (omissão) de um verbo?,A vírgula pode ser usada para marcar a elipse (omissão) de um verbo que já foi mencionado anteriormente na frase.,3,2025-05-07 15:43:18.760795+00
84,virgula-5,Em qual alternativa a vírgula é usada corretamente para isolar o vocativo?,"O vocativo é um termo que serve para chamar, invocar ou interpelar alguém no discurso. Ele é sempre isolado por vírgula.",2,2025-05-07 15:43:28.591962+00
85,virgula-5,Qual alternativa apresenta o uso correto da vírgula para separar orações coordenadas sindéticas?,"Orações coordenadas sindéticas são aquelas ligadas por conjunções. A vírgula é usada antes das conjunções adversativas, conclusivas, explicativas, mas não antes da aditiva ""e"" (exceto em casos específicos).",3,2025-05-07 15:43:28.591962+00
86,virgula-5,Em qual alternativa a vírgula é usada corretamente para isolar uma oração intercalada?,"Orações intercaladas são aquelas que interrompem a sequência natural da frase, inserindo uma informação adicional. Elas são sempre isoladas por vírgulas.",3,2025-05-07 15:43:28.591962+00
87,virgula-5,Qual alternativa apresenta o uso correto da vírgula para isolar um aposto explicativo?,"O aposto explicativo é um termo que explica ou esclarece o termo anterior, e deve ser isolado por vírgulas.",2,2025-05-07 15:43:28.591962+00
88,virgula-5,Em qual alternativa a vírgula é usada incorretamente?,"A vírgula não deve ser usada para separar o sujeito do predicado, nem o verbo de seus complementos diretos, indiretos ou predicativos.",3,2025-05-07 15:43:28.591962+00
89,virgula-5,Qual alternativa apresenta o uso correto da vírgula para separar elementos de uma enumeração?,"Em uma enumeração, os elementos são separados por vírgulas, exceto o último quando precedido por uma conjunção como ""e"", ""ou"".",2,2025-05-07 15:43:28.591962+00
90,virgula-5,Em qual alternativa a vírgula é usada corretamente para isolar um adjunto adverbial deslocado?,"Adjuntos adverbiais deslocados, especialmente os mais longos, devem ser isolados por vírgula.",2,2025-05-07 15:43:28.591962+00
91,virgula-5,Qual alternativa apresenta o uso correto da vírgula para isolar uma expressão explicativa?,"Expressões explicativas como ""isto é"", ""ou seja"", ""por exemplo"", entre outras, devem ser isoladas por vírgulas.",2,2025-05-07 15:43:28.591962+00
92,virgula-5,Em qual alternativa a vírgula é usada corretamente para isolar uma oração subordinada adverbial anteposta à principal?,Orações subordinadas adverbiais antepostas à oração principal são geralmente separadas por vírgula.,3,2025-05-07 15:43:28.591962+00
93,virgula-5,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adjetiva explicativa?,"Orações subordinadas adjetivas explicativas devem ser isoladas por vírgulas, pois trazem uma informação adicional, não essencial para a identificação do termo que modificam.",3,2025-05-07 15:43:28.591962+00
94,prova-virgula,Em qual alternativa a vírgula está sendo usada corretamente para separar orações coordenadas?,"A vírgula é usada para separar orações coordenadas assindéticas (sem conjunção) e orações coordenadas sindéticas (com conjunção), exceto quando a conjunção é ""e"" e as orações têm o mesmo sujeito.",2,2025-05-07 15:57:09.181043+00
95,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar o aposto?,"O aposto é um termo que explica, identifica ou especifica outro termo da oração. Ele deve ser isolado por vírgulas.",2,2025-05-07 15:57:09.181043+00
96,prova-virgula,Em qual alternativa a vírgula está sendo usada corretamente para isolar o vocativo?,"O vocativo é um termo usado para chamar, invocar ou interpelar o interlocutor. Ele deve ser isolado por vírgula.",2,2025-05-07 15:57:09.181043+00
97,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar uma expressão explicativa?,"Expressões explicativas como ""isto é"", ""ou seja"", ""por exemplo"", entre outras, devem ser isoladas por vírgulas.",2,2025-05-07 15:57:09.181043+00
98,prova-virgula,Em qual alternativa a vírgula está sendo usada corretamente para separar adjuntos adverbiais deslocados?,"Adjuntos adverbiais deslocados, especialmente os mais longos, devem ser isolados por vírgula.",2,2025-05-07 15:57:09.181043+00
99,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para separar elementos de uma enumeração?,"Em uma enumeração, os elementos são separados por vírgulas, exceto o último quando precedido por uma conjunção como ""e"", ""ou"".",2,2025-05-07 15:57:09.181043+00
100,prova-virgula,Em qual alternativa a vírgula está sendo usada corretamente para isolar uma oração subordinada adverbial deslocada?,"Orações subordinadas adverbiais deslocadas, especialmente quando antepostas à oração principal, devem ser isoladas por vírgula.",3,2025-05-07 15:57:09.181043+00
101,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adjetiva explicativa?,"Orações subordinadas adjetivas explicativas devem ser isoladas por vírgulas, pois trazem uma informação adicional, não essencial para a identificação do termo que modificam.",3,2025-05-07 15:57:09.181043+00
102,prova-virgula,Em qual alternativa a vírgula está sendo usada incorretamente?,"A vírgula não deve ser usada para separar o sujeito do predicado, nem o verbo de seus complementos diretos, indiretos ou predicativos.",3,2025-05-07 15:57:09.181043+00
103,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para separar orações coordenadas sindéticas adversativas?,"Orações coordenadas sindéticas adversativas são aquelas introduzidas por conjunções como ""mas"", ""porém"", ""contudo"", ""todavia"", entre outras. Essas conjunções devem ser precedidas de vírgula.",3,2025-05-07 15:57:09.181043+00
104,prova-virgula,Em qual alternativa a vírgula é usada corretamente para isolar uma expressão intercalada?,"Expressões intercaladas são aquelas que interrompem a sequência natural da frase, inserindo uma informação adicional. Elas são sempre isoladas por vírgulas.",3,2025-05-07 15:57:09.181043+00
105,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para separar termos coordenados?,Termos coordenados são aqueles que exercem a mesma função sintática na oração. Eles são separados por vírgula quando não há conjunção entre eles.,2,2025-05-07 15:57:09.181043+00
106,prova-virgula,Em qual alternativa a vírgula é usada corretamente para isolar uma oração reduzida de gerúndio?,"Orações reduzidas de gerúndio, especialmente quando equivalem a orações adverbiais, geralmente são isoladas por vírgula, principalmente quando antepostas à oração principal.",3,2025-05-07 15:57:09.181043+00
107,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar orações intercaladas?,"Orações intercaladas são aquelas que interrompem a sequência natural da frase, inserindo uma informação adicional. Elas são sempre isoladas por vírgulas.",3,2025-05-07 15:57:09.181043+00
108,prova-virgula,Em qual alternativa a vírgula é usada incorretamente?,"A vírgula não deve ser usada para separar o verbo de seus complementos, nem para separar o sujeito do predicado.",3,2025-05-07 15:57:09.181043+00
109,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para separar orações coordenadas sindéticas aditivas?,"Orações coordenadas sindéticas aditivas são aquelas introduzidas por conjunções como ""e"", ""nem"", entre outras. Geralmente, não se usa vírgula antes da conjunção ""e"" quando as orações têm o mesmo sujeito.",3,2025-05-07 15:57:09.181043+00
110,prova-virgula,Em qual alternativa a vírgula é usada corretamente para isolar uma oração reduzida de infinitivo?,"Orações reduzidas de infinitivo, especialmente quando equivalem a orações adverbiais, geralmente são isoladas por vírgula, principalmente quando antepostas à oração principal.",3,2025-05-07 15:57:09.181043+00
111,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar o adjunto adverbial deslocado?,"Adjuntos adverbiais deslocados, especialmente os mais longos, devem ser isolados por vírgula.",2,2025-05-07 15:57:09.181043+00
112,prova-virgula,Em qual alternativa a vírgula é usada corretamente para separar orações coordenadas assindéticas?,Orações coordenadas assindéticas são aquelas que não são ligadas por conjunções. Elas são separadas por vírgula.,2,2025-05-07 15:57:09.181043+00
113,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adverbial concessiva?,"Orações subordinadas adverbiais concessivas são aquelas introduzidas por conjunções como ""embora"", ""ainda que"", ""mesmo que"", entre outras. Quando antepostas à oração principal, devem ser isoladas por vírgula.",3,2025-05-07 15:57:09.181043+00
114,prova-virgula,Em qual alternativa a vírgula é usada corretamente para isolar uma oração subordinada adjetiva explicativa?,"Orações subordinadas adjetivas explicativas são aquelas que acrescentam uma informação adicional ao termo que modificam, sem restringir seu sentido. Elas devem ser isoladas por vírgulas.",3,2025-05-07 15:57:09.181043+00
115,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar expressões corretivas?,"Expressões corretivas como ""isto é"", ""ou melhor"", ""aliás"", ""ou seja"", entre outras, devem ser isoladas por vírgulas.",2,2025-05-07 15:57:09.181043+00
116,prova-virgula,Em qual alternativa a vírgula é usada corretamente para separar orações coordenadas sindéticas conclusivas?,"Orações coordenadas sindéticas conclusivas são aquelas introduzidas por conjunções como ""logo"", ""portanto"", ""por isso"", entre outras. Essas conjunções geralmente são precedidas de vírgula.",3,2025-05-07 15:57:09.181043+00
117,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar uma oração subordinada adverbial causal?,"Orações subordinadas adverbiais causais são aquelas introduzidas por conjunções como ""porque"", ""pois"", ""como"" (no sentido de causa), entre outras. Quando antepostas à oração principal, devem ser isoladas por vírgula.",3,2025-05-07 15:57:09.181043+00
118,prova-virgula,Em qual alternativa a vírgula é usada corretamente para isolar uma oração reduzida de particípio?,"Orações reduzidas de particípio, especialmente quando equivalem a orações adverbiais, geralmente são isoladas por vírgula, principalmente quando antepostas à oração principal.",3,2025-05-07 15:57:09.181043+00
119,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para separar orações coordenadas sindéticas alternativas?,"Orações coordenadas sindéticas alternativas são aquelas introduzidas por conjunções como ""ou"", ""ora...ora"", ""quer...quer"", entre outras. Geralmente, usa-se vírgula antes dessas conjunções quando elas não são repetidas.",3,2025-05-07 15:57:09.181043+00
120,prova-virgula,Em qual alternativa a vírgula é usada corretamente para isolar um adjunto adverbial deslocado?,"Adjuntos adverbiais deslocados, especialmente os mais longos, devem ser isolados por vírgula.",2,2025-05-07 15:57:09.181043+00
121,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar uma expressão de retificação?,"Expressões de retificação como ""isto é"", ""ou melhor"", ""ou seja"", ""aliás"", entre outras, devem ser isoladas por vírgulas.",2,2025-05-07 15:57:09.181043+00
122,prova-virgula,Em qual alternativa a vírgula é usada corretamente para separar elementos de uma enumeração?,"Em uma enumeração, os elementos são separados por vírgulas, exceto o último quando precedido por uma conjunção como ""e"", ""ou"".",2,2025-05-07 15:57:09.181043+00
123,prova-virgula,Qual alternativa apresenta o uso correto da vírgula para isolar o vocativo?,"O vocativo é um termo usado para chamar, invocar ou interpelar o interlocutor. Ele deve ser isolado por vírgula.",2,2025-05-07 15:57:09.181043+00
